,dt_year,dt_date,country,region,level_of_development,greenhousegas_emissione_mtco2equivalent,total_government_revenue_proportion_of_gdp_perc,fdi_inflows_millionusd,annual_growth_rate_perc,proportion_of_population_with_primary_reliance_on_clean_fuels_a,mortality_rate_perc,renewable_energy_share_on_the_total_energy_consumption,co2emissions_from_fuel_combustion_in_millions_of_tonnes,fossilfuel_subsidies_consumption_and_production_billionusd,randd_expenditure_proportionofgdp_perc,national_action_plans_as_priority_national_policies,number_of_companies_publishing_sustainability_reports,education_for_sustainable_development,enhance_policy_coherence_for_sustainable_development,land_degraded_over_total_land_area,IIASA rates of no education projections (IIASA (2015)),GDP (constant 2015 US$),"Literacy rate, adult total (% of people ages 15 and above)",Annual CO₂ emissions (zero filled),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)"
18,2020,2020-01-01,Afghanistan,Central and Southern Asia,Least Developed,,,38.53333,-0.0416821,33.0,,,,0.06024,,,,0.0,,,,20621946880.0,,11681766.0,
19,2021,2021-01-01,Afghanistan,Central and Southern Asia,Least Developed,,,,,,,,,,,,,,,,,,37.26604080200195,11874211.0,
40,2002,2002-01-01,Albania,Europe and North America,Economies in Transition,6.47121,0.2465543,206.42768,0.0465417,43.0,,35.82,3.76,,,,,,,,,6857137152.0,,3748272.0,
41,2003,2003-01-01,Albania,Europe and North America,Economies in Transition,6.82743,0.2463205,133.05633,0.0580494,46.0,,33.67,3.84,,,,,,,,,7236243456.0,,4303499.0,
42,2004,2004-01-01,Albania,Europe and North America,Economies in Transition,7.19271,0.2487509,177.10381,0.0596103999999999,49.0,,35.84,4.02,,,,,,,,,7635298304.0,,4176684.0,
43,2005,2005-01-01,Albania,Europe and North America,Economies in Transition,7.13113,0.2529902,345.67184,0.0614463,52.0,0.203,36.77,3.84,,,,,,,,,8057257472.0,,4261413.0,100.0
44,2006,2006-01-01,Albania,Europe and North America,Economies in Transition,7.18333,0.2623613999999999,264.33866,0.0672508,55.0,,31.62,3.81,,,,,,,,,8532849664.0,,3910715.0,
45,2007,2007-01-01,Albania,Europe and North America,Economies in Transition,7.55147,0.2602897,324.4219,0.0699707,58.0,,32.0,3.79,,0.0008757,,,,,,,9043392512.0,,3948970.0,
46,2008,2008-01-01,Albania,Europe and North America,Economies in Transition,7.63094,0.2694523,658.50667,0.0862139,61.0,,35.79,3.73,,0.0015412,,,,,,,9721650176.0,95.93863677978516,4397043.0,
47,2009,2009-01-01,Albania,Europe and North America,Economies in Transition,8.1257,0.261324,974.33332,0.0438433,64.0,,37.09,3.78,,,,,,,,,10047742976.0,,4406552.0,
48,2010,2010-01-01,Albania,Europe and North America,Economies in Transition,,0.2619469,995.92967,0.0458724,66.0,0.195,36.99,3.95,,,,,,,,,10420206592.0,,4783865.0,100.0
49,2011,2011-01-01,Albania,Europe and North America,Economies in Transition,,0.251984,1050.70824,0.0322582,69.0,,35.84,4.16,,,,,,,,,10685443072.0,96.84529876708984,5314676.0,100.0
50,2012,2012-01-01,Albania,Europe and North America,Economies in Transition,,0.2440984,876.26832,0.0192173,71.0,,39.91,3.5,,,,,,,,,10836881408.0,97.2469711303711,4850060.0,100.0
51,2013,2013-01-01,Albania,Europe and North America,Economies in Transition,,0.2362737999999999,855.44023,0.0136046,73.0,,41.14,3.67,,,,,,,,,10945469440.0,,5287466.0,100.0
52,2014,2014-01-01,Albania,Europe and North America,Economies in Transition,,0.2627471999999999,1265.90079,0.0203751,75.0,,38.56,4.14,,,,,,,,,11139690496.0,,5999658.0,100.0
53,2015,2015-01-01,Albania,Europe and North America,Economies in Transition,,0.2645049,1111.43438,0.0242358,76.0,0.136,38.47,3.85,0.0,,,,,,8.0,,11386850304.0,,4712137.0,100.0
54,2016,2016-01-01,Albania,Europe and North America,Economies in Transition,,0.2645431,945.72284,0.0346085,78.0,,39.43,3.7,0.0,,,,,,,,11764322304.0,,4631977.0,100.0
55,2017,2017-01-01,Albania,Europe and North America,Economies in Transition,,0.2778994,1100.67189,0.0388386,79.0,,37.07,4.36,0.0,,,,,,,,12211628032.0,,5564149.0,100.0
56,2018,2018-01-01,Albania,Europe and North America,Economies in Transition,,0.2749593,1148.89122,0.0407091,80.0,,38.11,4.33,0.0,,,,,,,,12702457856.0,98.14115142822266,4984045.0,
57,2019,2019-01-01,Albania,Europe and North America,Economies in Transition,,0.2740845,1289.69023,0.0217804,81.0,0.114,40.2,4.05,0.0,,1.0,,,,,,12970913792.0,,4947485.0,
58,2020,2020-01-01,Albania,Europe and North America,Economies in Transition,,0.2647607,1287.97818,-0.032064,81.0,,,,0.0,,,,0.719,,,,12457862144.0,,4728559.0,
59,2021,2021-01-01,Albania,Europe and North America,Economies in Transition,,,,,,,,,,,,,,,,,,,4619109.0,
60,2002,2002-01-01,Algeria,North Africa and Western Asia,Developing Economies,,0.3544706999999999,1113.10554,0.0426208,95.0,,0.51,68.15,,0.0036639,,,,,,,105045819392.0,69.87349700927734,89406936.0,
61,2003,2003-01-01,Algeria,North Africa and Western Asia,Developing Economies,,0.3809210999999999,1064.96,0.0584091,95.0,,0.47,71.98,,0.0019622,,,,,,,112609116160.0,,91048400.0,
62,2004,2004-01-01,Algeria,North Africa and Western Asia,Developing Economies,,0.3663154,637.85303,0.029345,95.0,,0.44,73.38,,0.0016357,,,,,,,117451309056.0,,87853350.0,
63,2005,2005-01-01,Algeria,North Africa and Western Asia,Developing Economies,,0.4116272,884.74903,0.0443828,95.0,0.166,0.58,77.47,,0.0006604,,,,,,,124380938240.0,,106472840.0,100.0
64,2006,2006-01-01,Algeria,North Africa and Western Asia,Developing Economies,,0.4294856,1145.6177,0.0021482,95.0,,0.41,80.76,,,,,,,,,126495416320.0,72.648681640625,100202856.0,
65,2007,2007-01-01,Algeria,North Africa and Western Asia,Developing Economies,,0.3972816,1888.45621,0.0180824999999999,95.0,,0.41,84.88,,,,,,,,,130796257280.0,,108401944.0,
66,2008,2008-01-01,Algeria,North Africa and Western Asia,Developing Economies,,0.471897,1743.63093,0.0073817,95.0,,0.3,88.13,,,,,,,,,133935366144.0,75.13604736328125,109031976.0,
67,2009,2009-01-01,Algeria,North Africa and Western Asia,Developing Economies,,0.3752507,2632.0478,-0.0013467,95.0,,0.31,94.44,,,,,,,,,136078336000.0,,120184856.0,
68,2010,2010-01-01,Algeria,North Africa and Western Asia,Developing Economies,,0.370538,2754.11889,0.0174678,95.0,0.152,0.26,95.64,,,,,,,,,140977160192.0,,117813010.0,100.0
69,2011,2011-01-01,Algeria,North Africa and Western Asia,Developing Economies,,0.4042416,2301.22592,0.009802,95.0,,0.18,102.89,,,,,,,,,145065492480.0,,119807544.0,100.0
70,2012,2012-01-01,Algeria,North Africa and Western Asia,Developing Economies,,,2580.62641,0.0140178,95.0,,0.18,112.49,,,,,,,,,149997715456.0,,135674300.0,100.0
71,2013,2013-01-01,Algeria,North Africa and Western Asia,Developing Economies,,,1499.44685,0.0076168999999999,95.0,,0.13,115.83,,,,,,,,,154197655552.0,,140786380.0,100.0
72,2014,2014-01-01,Algeria,North Africa and Western Asia,Developing Economies,,,1696.86675,0.0171044,95.0,,0.07,123.19,,,,,,,,,160057163776.0,,151282770.0,100.0
73,2015,2015-01-01,Algeria,North Africa and Western Asia,Developing Economies,,,1506.73344,0.0160049,95.0,0.143,0.06,130.49,12.44238,,,,,,1.0,,165979275264.0,,160087460.0,100.0
74,2016,2016-01-01,Algeria,North Africa and Western Asia,Developing Economies,,,-584.5392,0.011046,95.0,,0.08,127.89,6.98628,,,,,,,,171290624000.0,,158748370.0,100.0
75,2017,2017-01-01,Algeria,North Africa and Western Asia,Developing Economies,,,1636.29924,-0.0075051,95.0,,0.14,130.54,9.50304,0.0054296999999999,,,,,,,173517389824.0,,166411380.0,100.0
76,2018,2018-01-01,Algeria,North Africa and Western Asia,Developing Economies,,,1232.34192,-0.0081118,95.0,,0.19,137.3,17.26758,,,,,,,,175426093056.0,81.4078369140625,173911580.0,
77,2019,2019-01-01,Algeria,North Africa and Western Asia,Developing Economies,,,1466.08465,-0.0113074,95.0,0.139,0.16,142.37,12.42329,,,,,,,,177180344320.0,,179504830.0,
78,2020,2020-01-01,Algeria,North Africa and Western Asia,Developing Economies,,,1381.81182,-0.0663060999999999,95.0,,,,8.39641,,,,0.625,,,,168144142336.0,,172504460.0,
79,2021,2021-01-01,Algeria,North Africa and Western Asia,Developing Economies,,,,,,,,,,,,,,,,,,,176269070.0,
80,2002,2002-01-01,American Samoa,Other,Not Specified,,,,,,,0.0,,,,,,,,,,744923648.0,,0.0,
81,2003,2003-01-01,American Samoa,Other,Not Specified,,,,,,,0.0,,,0.0018679999999999,,,,,,,752116032.0,,0.0,
82,2004,2004-01-01,American Samoa,Other,Not Specified,,,,,,,0.0,,,0.0032337,,,,,,,755198464.0,,0.0,
83,2005,2005-01-01,American Samoa,Other,Not Specified,,,,,,,0.0,,,0.0036473,,,,,,,752116032.0,,0.0,100.0
84,2006,2006-01-01,American Samoa,Other,Not Specified,,,,,,,0.0,,,0.0039312999999999,,,,,,,721291584.0,,0.0,
85,2007,2007-01-01,American Samoa,Other,Not Specified,,,,,,,0.0,,,,,,,,,,734648832.0,,0.0,
86,2008,2008-01-01,American Samoa,Other,Not Specified,,,,,,,0.0,,,,,,,,,,715126720.0,,0.0,
87,2009,2009-01-01,American Samoa,Other,Not Specified,,,,,,,0.0,,,,,,,,,,685329792.0,,0.0,
88,2010,2010-01-01,American Samoa,Other,Not Specified,,,,,,,0.0,,,,,,,,,,687384704.0,,0.0,100.0
89,2011,2011-01-01,American Samoa,Other,Not Specified,,,,,,,0.0,,,,,,,,,,687384704.0,,0.0,100.0
90,2012,2012-01-01,American Samoa,Other,Not Specified,,,,,,,0.14,,,,,,,,,,657587776.0,,0.0,100.0
91,2013,2013-01-01,American Samoa,Other,Not Specified,,,,,,,0.24,,,,,,,,,,641148096.0,,0.0,100.0
92,2014,2014-01-01,American Samoa,Other,Not Specified,,,,,,,0.23,,,,,,,,,,652450368.0,,0.0,100.0
93,2015,2015-01-01,American Samoa,Other,Not Specified,,,,,,,0.23,,,,,,,,,,673000000.0,,0.0,100.0
94,2016,2016-01-01,American Samoa,Other,Not Specified,,,,,,,0.3,,,,,,,,,,661697728.0,,0.0,100.0
95,2017,2017-01-01,American Samoa,Other,Not Specified,,,,,,,0.49,,,,,,,,,,615461056.0,,0.0,100.0
96,2018,2018-01-01,American Samoa,Other,Not Specified,,,,,,,0.49,,,,,,,,,,631900736.0,,0.0,
97,2019,2019-01-01,American Samoa,Other,Not Specified,,,,,,,0.5,,,,,,,,,,628818304.0,,0.0,
98,2020,2020-01-01,American Samoa,Other,Not Specified,,,,,,,,,,,,,0.0,,,,653477888.0,,0.0,
99,2021,2021-01-01,American Samoa,Other,Not Specified,,,,,,,,,,,,,,,,,,,0.0,
100,2002,2002-01-01,Andorra,Europe and North America,Not Specified,,,,0.0050484,95.0,,15.83,,,,,,,,,,2532836608.0,,531280.0,
101,2003,2003-01-01,Andorra,Europe and North America,Not Specified,,,,0.0404077,95.0,,16.52,,,,,,,,,,2753046528.0,,534944.0,
102,2004,2004-01-01,Andorra,Europe and North America,Not Specified,,,,0.0379283,95.0,,16.57,,,,,,,,,,2977025536.0,,560592.0,
103,2005,2005-01-01,Andorra,Europe and North America,Not Specified,,,,0.0189230999999999,95.0,,16.61,,,,,,,,,,3137719296.0,,575248.0,100.0
104,2006,2006-01-01,Andorra,Europe and North America,Not Specified,,,,0.0205767,95.0,,17.57,,,,,,,,,,3288602624.0,,545936.0,
105,2007,2007-01-01,Andorra,Europe and North America,Not Specified,,,,-0.0052363999999999,95.0,,16.56,,,,,,,,,,3339680768.0,,538608.0,
106,2008,2008-01-01,Andorra,Europe and North America,Not Specified,,,,-0.0688588,95.0,,17.02,,,,,,,,,,3154021632.0,,538608.0,
107,2009,2009-01-01,Andorra,Europe and North America,Not Specified,,,,-0.0597653,95.0,,17.13,,,,,,,,,,2986768640.0,,516623.97,
108,2010,2010-01-01,Andorra,Europe and North America,Not Specified,,,,-0.0195878,95.0,,18.67,,,,,,,,,,2927781376.0,,516623.97,99.95663452148438
109,2011,2011-01-01,Andorra,Europe and North America,Not Specified,,,,0.0082989999999999,95.0,,18.55,,,,,,,,,,2927545088.0,,490976.0,100.0
110,2012,2012-01-01,Andorra,Europe and North America,Not Specified,,,,-0.0345245999999999,95.0,,18.76,,,,,,,,,,2781915904.0,,487312.0,99.95599365234376
111,2013,2013-01-01,Andorra,Europe and North America,Not Specified,,,,-0.0157388,95.0,,19.14,,,,,,,,,,2683224832.0,,476320.0,97.68595886230467
112,2014,2014-01-01,Andorra,Europe and North America,Not Specified,,,,0.0452435,95.0,,19.45,,,,,,,,,,2750425344.0,,461664.0,16.598979949951172
113,2015,2015-01-01,Andorra,Europe and North America,Not Specified,,,,0.029972,95.0,,19.32,,,,,,,,,,2789870080.0,,465328.0,90.84806060791016
114,2016,2016-01-01,Andorra,Europe and North America,Not Specified,,,,0.0466762,95.0,,19.32,,,,,,,,,,2893365504.0,,468992.0,17.419557571411133
115,2017,2017-01-01,Andorra,Europe and North America,Not Specified,,,,0.0073178,95.0,,19.15,,,,,,,,,,2903378432.0,,465328.0,17.824459075927734
116,2018,2018-01-01,Andorra,Europe and North America,Not Specified,,,,0.0158229,95.0,,18.58,,,,,,,,,,2949506304.0,,494640.0,
117,2019,2019-01-01,Andorra,Europe and North America,Not Specified,,,,0.0183559999999999,95.0,,18.4,,,,,,,,,,3008955136.0,,479984.0,
118,2020,2020-01-01,Andorra,Europe and North America,Not Specified,,,,-0.1209286,95.0,,,,,,,,1.0,,,,2649303808.0,,448884.0,
119,2021,2021-01-01,Andorra,Europe and North America,Not Specified,,,,,,,,,,,,,,,,,,,452888.0,
120,2002,2002-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.2662067,2145.501,0.1077978,42.0,,70.42,5.5,,,,,,,,,47607984128.0,,12598124.0,
121,2003,2003-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.2958057,1743.504,-0.0043185,42.0,,65.14,7.07,,,,,,,,,49031393280.0,,8988970.0,
122,2004,2004-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.276978,3576.97178,0.0718726,42.0,,61.92,7.72,,,,,,,,,54401732608.0,,18700614.0,
123,2005,2005-01-01,Angola,Sub-Saharan Africa,Least Developed,61.61076,0.2442502,2197.22782,0.1103111,43.0,0.271,68.38,6.15,,,,,,,,,62577721344.0,,19005990.0,100.0
124,2006,2006-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.4610284,-1303.83693,0.0767904,43.0,,62.13,8.25,,,,,,,,,69803999232.0,,22101650.0,
125,2007,2007-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.449866,-37.71486,0.0988935,43.0,,58.49,9.65,,,,,,,,,79583551488.0,,24977270.0,
126,2008,2008-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.4266761,-893.34215,0.0711524,44.0,,54.88,11.82,,,,,,,,,88469962752.0,,25486268.0,
127,2009,2009-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.2225075,1678.97101,-0.0280879,44.0,,52.41,13.87,,,,,,,,,89229664256.0,,27564974.0,
128,2010,2010-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.3499444,2205.29818,0.0107915999999999,44.0,0.246,52.51,14.29,,,,,,,,,93159276544.0,,28864504.0,100.0
129,2011,2011-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.4459229,-3227.21118,-0.0022085,45.0,,51.06,15.17,,,,,,,,,96393748480.0,,30329742.0,100.0
130,2012,2012-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.3622541999999999,-3023.77097,0.0470646,45.0,,49.47,16.44,,,,,,,,,104627879936.0,,25539988.0,100.0
131,2013,2013-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.3570586,-1464.62799,0.0129208,46.0,,47.95,19.28,,,,,,,,,109811720192.0,,24718594.0,100.0
132,2014,2014-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.3088455,-7120.01742,0.0121984,46.0,,48.23,20.9,,,,,,,,,115107528704.0,66.03011322021484,25147586.0,100.0
133,2015,2015-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.1877665,3657.51467,-0.0246871,47.0,0.228,47.84,21.52,0.19571,,,,,,20.0,,116193648640.0,,25530950.0,100.0
134,2016,2016-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.1572077,10028.21516,-0.0581597,48.0,,49.03,19.33,0.49029,0.0003229,,,,,,,113195794432.0,,27209698.0,100.0
135,2017,2017-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.1636061,-179.51762,-0.0341017,48.0,,56.25,16.72,0.24899,,,,,,,,113029152768.0,,24304090.0,100.0
136,2018,2018-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.2104335,-7397.29541,-0.0516209,49.0,,57.36,16.62,1.88726,,,,,,,,110764474368.0,,22779500.0,
137,2019,2019-01-01,Angola,Sub-Saharan Africa,Least Developed,,0.2021896,-6456.07641,-0.037956,50.0,0.222,54.69,18.77,1.12741,,,,,,,,110072586240.0,,21818020.0,
138,2020,2020-01-01,Angola,Sub-Saharan Africa,Least Developed,,,-4098.47875,-0.0707985,50.0,,,,1.52039,,,,0.0,,,,104128684032.0,,20275732.0,
139,2021,2021-01-01,Angola,Sub-Saharan Africa,Least Developed,,,,,,,,,,,,,,,,,,,21362716.0,
140,2002,2002-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.2020447,29.61889,-0.0570986999999999,,,0.19,,,,,,,,,,,,95264.0,
141,2003,2003-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.1911238,33.23823,0.0397854,,,0.17,,,,,,,,,,,,102592.0,
142,2004,2004-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.2190717,29.3923,0.1131741,,,0.14,,,,,,,,,,,,120912.0,
143,2005,2005-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.2122698,86.7273,0.1111462,,,0.14,,,,,,,,,,,,128240.01,
144,2006,2006-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.2562367,117.30677,0.17883,,,0.12,,,,,,,,,,,,142896.0,
145,2007,2007-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.2193049,141.9978,0.1207048,,,0.12,,,,,,,,,,,,150224.0,
146,2008,2008-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.2229876,118.8761,-0.0275883,,,0.12,,,,,,,,,,,,150224.0,
147,2009,2009-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.1943946,98.71431,-0.1974456,,,0.12,,,,,,,,,,,,146560.0,
148,2010,2010-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.2625113,43.58658,-0.0589721,,,0.12,,,,,,,,,,,,150224.0,
149,2011,2011-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.2613327,11.40072,0.0238881,,,0.13,,,,,,,,,,,,142896.0,
150,2012,2012-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.2532394,38.91589,-0.0705058,,,0.13,,,,,,,,,,,,142896.0,
151,2013,2013-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.2485784999999999,43.543,-0.016244,,,0.14,,,,,,,,,,,,117248.0,
152,2014,2014-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.2413415,42.14755,0.03511,,,0.35,,,,,,,,,,,,139232.0,
153,2015,2015-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.2182582,72.58111,0.0244597,,,0.3,,,,,,,,,,,,153888.0,
154,2016,2016-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.2231297,79.19556,-0.0346157,,,0.5,,,,,,,,,,,,153888.0,
155,2017,2017-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,0.2913461,60.2537,-0.076138,,,0.53,,,,,,,,,,,,142896.0,
156,2018,2018-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,,53.53481,0.074571,,,0.51,,,,,,,,,,,,142896.0,
157,2019,2019-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,,55.78444,0.0454847,,,0.49,,,,,,,,,,,,153888.0,
158,2020,2020-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,,125.08889,-0.3049832,,,,,,,,,0.0,,,,,,131390.0,
159,2021,2021-01-01,Anguilla,Latin America and the Caribbean,Not Specified,,,,,,,,,,,,,,,,,,,144744.0,
180,2002,2002-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,0.1915878,98.45222,0.0150031,95.0,,0.0,,,,,,,,,,1031233664.0,,329760.0,
181,2003,2003-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,0.1878718999999999,65.86506,0.0457147,95.0,,0.0,,,,,,,,,,1093897088.0,,351744.0,
182,2004,2004-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,0.1927622,166.32114,0.0392873,95.0,,0.0,,,,,,,,,,1156982400.0,,366400.0,
183,2005,2005-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,0.1866394999999999,80.36659,0.064289,95.0,0.174,0.0,,,,,,,,,,1231883520.0,,373728.0,100.0
184,2006,2006-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,0.2170132,220.96337,0.111149,95.0,,0.0,,,,,,,,,,1388433024.0,,384720.0,
185,2007,2007-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,0.21031,358.82016,0.0757019,95.0,,0.0,,,,,,,,,,1517770880.0,,406704.0,
186,2008,2008-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,0.2073239999999999,338.20473,-0.0085673,95.0,,0.0,,,,,,,,,,1517553280.0,,417696.0,
187,2009,2009-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,0.1802614,158.78377,-0.1333178,95.0,,0.0,,,,,,,,,,1336012928.0,,443344.0,
188,2010,2010-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,0.2199774,80.64665,-0.0918276,95.0,0.179,0.0,,,,,,,,,,1231261568.0,,454336.0,100.0
189,2011,2011-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,0.2008036999999999,96.67921,-0.0330423,95.0,,0.08,,,,,,,,,,1207145984.0,98.9499969482422,443344.0,100.0
190,2012,2012-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,0.1977008999999999,65.1606,0.0205111,95.0,,0.15,,,,,,,,,,1247861376.0,,458000.0,100.0
191,2013,2013-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,0.1856063,133.07084,-0.0180323,95.0,,0.15,,,,,,,,,,1240363264.0,,461664.0,100.0
192,2014,2014-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,0.1963999,94.66253,0.0262278,95.0,,0.14,,,,,,,,,,1287444096.0,,461664.0,100.0
193,2015,2015-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,,46.06148,0.0271121,95.0,0.181,0.48,,0.01038,,,,,,,,1336692608.0,98.9499969482422,479984.0,100.0
194,2016,2016-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,,107.46037,0.0442394,95.0,,0.6,,0.00955,,,,,,,,1410163328.0,,490976.0,100.0
195,2017,2017-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,,80.64148,0.0217261,95.0,,0.6,,0.01617,,1.0,,,,,,1454503424.0,,490976.0,100.0
196,2018,2018-01-01,Antigua and Barbuda,Latin America and the Caribbean,Not Specified,,,112.93667,0.0592899,95.0,,0.9,,0.0405,,,,,,,,1554626304.0,,498304.0,
